name,date,new_cases,new_deaths,total_cases,total_deaths
Afghanistan,2020-04-01,25,0,166,4
Albania,2020-04-01,20,3,243,15
Algeria,2020-04-01,73,4,584,35
Andorra,2020-04-01,6,4,376,12
Angola,2020-04-01,0,0,7,2
Antigua and Barbuda,2020-04-01,0,0,7,0
Argentina,2020-04-01,0,0,966,24
Armenia,2020-04-01,50,0,532,3
Aruba,2020-04-01,5,0,55,0
Australia,2020-04-01,150,1,4707,20
Austria,2020-04-01,564,20,10182,128
Azerbaijan,2020-04-01,25,1,298,5
Bahamas,2020-04-01,1,0,15,0
Bahrain,2020-04-01,52,0,567,4
Bangladesh,2020-04-01,2,0,51,5
Barbados,2020-04-01,0,0,34,0
Belarus,2020-04-01,47,0,152,0
Belgium,2020-04-01,876,192,12775,705
Belize,2020-04-01,0,0,3,0
Benin,2020-04-01,2,0,8,0
Bermuda,2020-04-01,5,0,32,0
Bhutan,2020-04-01,0,0,4,0
Bolivia,2020-04-01,8,1,115,7
Bosnia and Herzegovina,2020-04-01,60,4,413,12
Brazil,2020-04-01,1138,42,5717,201
Brunei,2020-04-01,2,0,129,1
Bulgaria,2020-04-01,40,0,399,8
Burkina Faso,2020-04-01,24,0,246,12
Cambodia,2020-04-01,0,0,109,0
Cameroon,2020-04-01,51,6,193,8
Canada,2020-04-01,1112,7,8536,96
Cape Verde,2020-04-01,1,0,6,1
Cayman Islands,2020-04-01,2,0,14,1
Central African Republic,2020-04-01,0,0,6,0
Chad,2020-04-01,0,0,7,0
Chile,2020-04-01,289,4,2738,12
China,2020-04-01,54,1,82295,3310
Colombia,2020-04-01,108,2,906,16
Congo,2020-04-01,3,2,22,2
Costa Rica,2020-04-01,17,0,347,2
Cote d'Ivoire,2020-04-01,0,0,168,1
Croatia,2020-04-01,77,0,867,6
Cuba,2020-04-01,16,2,186,6
Curacao,2020-04-01,2,0,11,1
Cyprus,2020-04-01,32,1,262,8
Czech Republic,2020-04-01,306,7,3308,31
Democratic Republic of Congo,2020-04-01,0,0,98,8
Denmark,2020-04-01,283,13,2860,90
Djibouti,2020-04-01,5,0,31,0
Dominica,2020-04-01,0,0,11,0
Dominican Republic,2020-04-01,208,9,1109,51
Ecuador,2020-04-01,336,17,2302,79
Egypt,2020-04-01,47,1,656,41
El Salvador,2020-04-01,0,1,32,1
Equatorial Guinea,2020-04-01,1,0,15,0
Eritrea,2020-04-01,3,0,15,0
Estonia,2020-04-01,30,1,745,4
Ethiopia,2020-04-01,2,0,25,0
Faeroe Islands,2020-04-01,1,0,169,0
Fiji,2020-04-01,0,0,5,0
Finland,2020-04-01,71,4,1384,17
France,2020-04-01,7578,499,52128,3523
French Polynesia,2020-04-01,1,0,37,0
Gabon,2020-04-01,9,0,16,1
Gambia,2020-04-01,0,0,4,1
Georgia,2020-04-01,12,0,110,0
Germany,2020-04-01,5453,149,67366,732
Ghana,2020-04-01,0,0,152,5
Gibraltar,2020-04-01,0,0,69,0
Greece,2020-04-01,102,6,1314,49
Greenland,2020-04-01,0,0,10,0
Grenada,2020-04-01,0,0,9,0
Guam,2020-04-01,9,2,69,3
Guatemala,2020-04-01,2,0,38,1
Guernsey,2020-04-01,15,0,60,0
Guinea,2020-04-01,0,0,16,0
Guyana,2020-04-01,4,1,12,2
Haiti,2020-04-01,0,0,15,0
Honduras,2020-04-01,31,3,172,10
Hungary,2020-04-01,45,1,492,16
Iceland,2020-04-01,49,0,1135,2
India,2020-04-01,146,3,1397,35
Indonesia,2020-04-01,114,14,1528,136
Iran,2020-04-01,3111,141,44606,2898
Iraq,2020-04-01,64,4,694,50
Ireland,2020-04-01,325,17,3235,71
Isle of Man,2020-04-01,10,0,52,0
Israel,2020-04-01,443,3,4916,20
Italy,2020-04-01,4053,839,105792,12430
Jamaica,2020-04-01,0,0,38,1
Japan,2020-04-01,0,0,1953,56
Jersey,2020-04-01,18,0,81,2
Jordan,2020-04-01,6,0,274,5
Kazakhstan,2020-04-01,15,0,340,1
